Word,Prediction
to,"[{'label': 'neutral', 'score': 0.9655275940895081}, {'label': 'approval', 'score': 0.011395309120416641}, {'label': 'annoyance', 'score': 0.007563634775578976}, {'label': 'realization', 'score': 0.00394172640517354}, {'label': 'anger', 'score': 0.003927402198314667}, {'label': 'disapproval', 'score': 0.0037522627972066402}, {'label': 'admiration', 'score': 0.0034130141139030457}, {'label': 'disappointment', 'score': 0.003045704448595643}, {'label': 'excitement', 'score': 0.0027176709845662117}, {'label': 'joy', 'score': 0.0023888270370662212}, {'label': 'sadness', 'score': 0.0023848097771406174}, {'label': 'disgust', 'score': 0.002238784683868289}, {'label': 'confusion', 'score': 0.0021366612054407597}, {'label': 'amusement', 'score': 0.0017488343873992562}, {'label': 'fear', 'score': 0.0016990287695080042}, {'label': 'curiosity', 'score': 0.0016076886095106602}, {'label': 'optimism', 'score': 0.0015642637154087424}, {'label': 'caring', 'score': 0.0013172765029594302}, {'label': 'love', 'score': 0.0012897648848593235}, {'label': 'gratitude', 'score': 0.0011889045126736164}, {'label': 'desire', 'score': 0.0011839354410767555}, {'label': 'surprise', 'score': 0.0009642310324124992}, {'label': 'embarrassment', 'score': 0.0007019619806669652}, {'label': 'grief', 'score': 0.0004808469384443015}, {'label': 'nervousness', 'score': 0.00039344318793155253}, {'label': 'remorse', 'score': 0.0003835154930129647}, {'label': 'pride', 'score': 0.0003821966238319874}, {'label': 'relief', 'score': 0.0003536757139954716}]"
introduce,"[{'label': 'neutral', 'score': 0.9651601910591125}, {'label': 'approval', 'score': 0.014192672446370125}, {'label': 'annoyance', 'score': 0.006174481939524412}, {'label': 'realization', 'score': 0.004837157670408487}, {'label': 'anger', 'score': 0.0032439138740301132}, {'label': 'admiration', 'score': 0.0027689028065651655}, {'label': 'excitement', 'score': 0.002707403153181076}, {'label': 'confusion', 'score': 0.002706626895815134}, {'label': 'curiosity', 'score': 0.0023566384334117174}, {'label': 'disappointment', 'score': 0.002242450835183263}, {'label': 'disapproval', 'score': 0.0021798384841531515}, {'label': 'amusement', 'score': 0.0020567402243614197}, {'label': 'disgust', 'score': 0.0020504039712250233}, {'label': 'joy', 'score': 0.0019863208290189505}, {'label': 'love', 'score': 0.001983999740332365}, {'label': 'sadness', 'score': 0.0019617604557424784}, {'label': 'optimism', 'score': 0.001656858716160059}, {'label': 'fear', 'score': 0.0014456496573984623}, {'label': 'caring', 'score': 0.001315587549470365}, {'label': 'desire', 'score': 0.0013090226566419005}, {'label': 'surprise', 'score': 0.0008890475728549063}, {'label': 'gratitude', 'score': 0.0007786240894347429}, {'label': 'embarrassment', 'score': 0.0005676696891896427}, {'label': 'grief', 'score': 0.0004133200563956052}, {'label': 'nervousness', 'score': 0.0003468261274974793}, {'label': 'remorse', 'score': 0.000310198578517884}, {'label': 'pride', 'score': 0.0002992803347297013}, {'label': 'relief', 'score': 0.0002806901466101408}]"
a,"[{'label': 'neutral', 'score': 0.9631901383399963}, {'label': 'approval', 'score': 0.010411566123366356}, {'label': 'annoyance', 'score': 0.009450456127524376}, {'label': 'realization', 'score': 0.004488940816372633}, {'label': 'anger', 'score': 0.004405894782394171}, {'label': 'confusion', 'score': 0.0033692356664687395}, {'label': 'disapproval', 'score': 0.0030685821548104286}, {'label': 'curiosity', 'score': 0.002842816524207592}, {'label': 'admiration', 'score': 0.002566952258348465}, {'label': 'disappointment', 'score': 0.0025179896038025618}, {'label': 'disgust', 'score': 0.0020909449085593224}, {'label': 'excitement', 'score': 0.0020485040731728077}, {'label': 'amusement', 'score': 0.0016849000239744782}, {'label': 'sadness', 'score': 0.0016452968120574951}, {'label': 'optimism', 'score': 0.0016040976624935865}, {'label': 'joy', 'score': 0.001430999836884439}, {'label': 'fear', 'score': 0.0013223724672570825}, {'label': 'surprise', 'score': 0.0012374446960166097}, {'label': 'love', 'score': 0.001029872102662921}, {'label': 'desire', 'score': 0.0008743368089199066}, {'label': 'gratitude', 'score': 0.0008474631467834115}, {'label': 'caring', 'score': 0.0008214605622924864}, {'label': 'embarrassment', 'score': 0.0006169736152514815}, {'label': 'grief', 'score': 0.00035146705340594053}, {'label': 'nervousness', 'score': 0.00028914486756548285}, {'label': 'relief', 'score': 0.00025087970425374806}, {'label': 'pride', 'score': 0.00024965728516690433}, {'label': 'remorse', 'score': 0.00021354704222176224}]"
distracting,"[{'label': 'neutral', 'score': 0.5597333908081055}, {'label': 'annoyance', 'score': 0.14338339865207672}, {'label': 'disappointment', 'score': 0.13007903099060059}, {'label': 'disapproval', 'score': 0.046665143221616745}, {'label': 'sadness', 'score': 0.031687065958976746}, {'label': 'confusion', 'score': 0.01979290507733822}, {'label': 'realization', 'score': 0.017020776867866516}, {'label': 'approval', 'score': 0.015573292970657349}, {'label': 'anger', 'score': 0.010766269639134407}, {'label': 'disgust', 'score': 0.0065292916260659695}, {'label': 'curiosity', 'score': 0.004703796003013849}, {'label': 'nervousness', 'score': 0.0033328416757285595}, {'label': 'embarrassment', 'score': 0.003198736347258091}, {'label': 'caring', 'score': 0.0030051914509385824}, {'label': 'fear', 'score': 0.002680413192138076}, {'label': 'optimism', 'score': 0.001959669403731823}, {'label': 'admiration', 'score': 0.0012164036743342876}, {'label': 'grief', 'score': 0.0011267091613262892}, {'label': 'surprise', 'score': 0.0009474777616560459}, {'label': 'remorse', 'score': 0.0008064243593253195}, {'label': 'desire', 'score': 0.0007558679208159447}, {'label': 'amusement', 'score': 0.0006215814501047134}, {'label': 'love', 'score': 0.0006047021597623825}, {'label': 'joy', 'score': 0.00045823314576409757}, {'label': 'relief', 'score': 0.0004447274259291589}, {'label': 'excitement', 'score': 0.00042447244049981236}, {'label': 'gratitude', 'score': 0.00026962385163642466}, {'label': 'pride', 'score': 0.0001966695999726653}]"
factor,"[{'label': 'neutral', 'score': 0.9655503630638123}, {'label': 'approval', 'score': 0.019045740365982056}, {'label': 'annoyance', 'score': 0.006903531029820442}, {'label': 'realization', 'score': 0.0061262850649654865}, {'label': 'admiration', 'score': 0.005058733280748129}, {'label': 'disappointment', 'score': 0.0029699450824409723}, {'label': 'disapproval', 'score': 0.0028221001848578453}, {'label': 'excitement', 'score': 0.0025770477950572968}, {'label': 'anger', 'score': 0.002304204273968935}, {'label': 'confusion', 'score': 0.002146583516150713}, {'label': 'disgust', 'score': 0.0019296702230349183}, {'label': 'optimism', 'score': 0.0018069709185510874}, {'label': 'amusement', 'score': 0.0017837239429354668}, {'label': 'curiosity', 'score': 0.001731246942654252}, {'label': 'joy', 'score': 0.001666311058215797}, {'label': 'sadness', 'score': 0.0015562048647552729}, {'label': 'love', 'score': 0.0012230229331180453}, {'label': 'fear', 'score': 0.0010879572946578264}, {'label': 'surprise', 'score': 0.001086992328055203}, {'label': 'desire', 'score': 0.0008945832378230989}, {'label': 'caring', 'score': 0.0007289626519195735}, {'label': 'gratitude', 'score': 0.0006775803049094975}, {'label': 'embarrassment', 'score': 0.000590319512411952}, {'label': 'pride', 'score': 0.00036578523577190936}, {'label': 'grief', 'score': 0.00032508140429854393}, {'label': 'relief', 'score': 0.00031073580612428486}, {'label': 'nervousness', 'score': 0.0002808443096000701}, {'label': 'remorse', 'score': 0.00025314526283182204}]"
which,"[{'label': 'neutral', 'score': 0.9631674885749817}, {'label': 'approval', 'score': 0.01608748361468315}, {'label': 'annoyance', 'score': 0.006399198900908232}, {'label': 'realization', 'score': 0.006355820689350367}, {'label': 'admiration', 'score': 0.004041304346174002}, {'label': 'disapproval', 'score': 0.0038964974228292704}, {'label': 'confusion', 'score': 0.0030296649783849716}, {'label': 'disappointment', 'score': 0.002572788391262293}, {'label': 'anger', 'score': 0.0025693620555102825}, {'label': 'excitement', 'score': 0.0018949790392071009}, {'label': 'optimism', 'score': 0.001840714132413268}, {'label': 'curiosity', 'score': 0.0018390415934845805}, {'label': 'disgust', 'score': 0.0016773975221440196}, {'label': 'sadness', 'score': 0.0013998975045979023}, {'label': 'joy', 'score': 0.0013712308136746287}, {'label': 'amusement', 'score': 0.0013510314747691154}, {'label': 'fear', 'score': 0.0010889973491430283}, {'label': 'surprise', 'score': 0.0010737021220847964}, {'label': 'gratitude', 'score': 0.0009476122795604169}, {'label': 'love', 'score': 0.0007940601208247244}, {'label': 'caring', 'score': 0.0007076571928337216}, {'label': 'desire', 'score': 0.0006989863468334079}, {'label': 'embarrassment', 'score': 0.000548650452401489}, {'label': 'pride', 'score': 0.00030971746309660375}, {'label': 'grief', 'score': 0.0003079726011492312}, {'label': 'relief', 'score': 0.0002843679685611278}, {'label': 'nervousness', 'score': 0.00025768682826310396}, {'label': 'remorse', 'score': 0.0002303147193742916}]"
might,"[{'label': 'neutral', 'score': 0.9672141671180725}, {'label': 'approval', 'score': 0.018854878842830658}, {'label': 'realization', 'score': 0.005410732701420784}, {'label': 'annoyance', 'score': 0.005231513176113367}, {'label': 'admiration', 'score': 0.005060505121946335}, {'label': 'disapproval', 'score': 0.003632695646956563}, {'label': 'optimism', 'score': 0.0032324185594916344}, {'label': 'confusion', 'score': 0.0028306501917541027}, {'label': 'disappointment', 'score': 0.0026402436196804047}, {'label': 'gratitude', 'score': 0.002080516191199422}, {'label': 'anger', 'score': 0.0018521141028031707}, {'label': 'disgust', 'score': 0.0017240314045920968}, {'label': 'excitement', 'score': 0.001596323330886662}, {'label': 'sadness', 'score': 0.0015366070438176394}, {'label': 'curiosity', 'score': 0.0014545974554494023}, {'label': 'caring', 'score': 0.0013802738394588232}, {'label': 'desire', 'score': 0.0013421688927337527}, {'label': 'joy', 'score': 0.0013081477954983711}, {'label': 'love', 'score': 0.001298182993195951}, {'label': 'amusement', 'score': 0.0011612760135903955}, {'label': 'fear', 'score': 0.0011440623784437776}, {'label': 'surprise', 'score': 0.0007615471258759499}, {'label': 'embarrassment', 'score': 0.0004832134582102299}, {'label': 'remorse', 'score': 0.00038474443135783076}, {'label': 'pride', 'score': 0.0003702895191963762}, {'label': 'grief', 'score': 0.00036946297041140497}, {'label': 'relief', 'score': 0.0003556455485522747}, {'label': 'nervousness', 'score': 0.00026382776559330523}]"
throw,"[{'label': 'neutral', 'score': 0.9613059163093567}, {'label': 'approval', 'score': 0.00960257463157177}, {'label': 'annoyance', 'score': 0.009079179726541042}, {'label': 'anger', 'score': 0.006567515432834625}, {'label': 'admiration', 'score': 0.004176722839474678}, {'label': 'realization', 'score': 0.0035545164719223976}, {'label': 'disapproval', 'score': 0.003501339815557003}, {'label': 'excitement', 'score': 0.003441796638071537}, {'label': 'disappointment', 'score': 0.003165645059198141}, {'label': 'joy', 'score': 0.003159640822559595}, {'label': 'disgust', 'score': 0.0028605409897863865}, {'label': 'sadness', 'score': 0.0024271472357213497}, {'label': 'amusement', 'score': 0.002384791849181056}, {'label': 'confusion', 'score': 0.0023305946961045265}, {'label': 'fear', 'score': 0.002162361051887274}, {'label': 'curiosity', 'score': 0.0017945895669981837}, {'label': 'love', 'score': 0.0017186513869091868}, {'label': 'surprise', 'score': 0.0014881357783451676}, {'label': 'optimism', 'score': 0.0014314770232886076}, {'label': 'caring', 'score': 0.0011852448806166649}, {'label': 'gratitude', 'score': 0.0011445917189121246}, {'label': 'desire', 'score': 0.00094458123203367}, {'label': 'embarrassment', 'score': 0.0008900146349333227}, {'label': 'grief', 'score': 0.0005886853323318064}, {'label': 'pride', 'score': 0.000504082185216248}, {'label': 'nervousness', 'score': 0.00043423811439424753}, {'label': 'relief', 'score': 0.00038406773819588125}, {'label': 'remorse', 'score': 0.00036364415427669883}]"
a,"[{'label': 'neutral', 'score': 0.9631901383399963}, {'label': 'approval', 'score': 0.010411566123366356}, {'label': 'annoyance', 'score': 0.009450456127524376}, {'label': 'realization', 'score': 0.004488940816372633}, {'label': 'anger', 'score': 0.004405894782394171}, {'label': 'confusion', 'score': 0.0033692356664687395}, {'label': 'disapproval', 'score': 0.0030685821548104286}, {'label': 'curiosity', 'score': 0.002842816524207592}, {'label': 'admiration', 'score': 0.002566952258348465}, {'label': 'disappointment', 'score': 0.0025179896038025618}, {'label': 'disgust', 'score': 0.0020909449085593224}, {'label': 'excitement', 'score': 0.0020485040731728077}, {'label': 'amusement', 'score': 0.0016849000239744782}, {'label': 'sadness', 'score': 0.0016452968120574951}, {'label': 'optimism', 'score': 0.0016040976624935865}, {'label': 'joy', 'score': 0.001430999836884439}, {'label': 'fear', 'score': 0.0013223724672570825}, {'label': 'surprise', 'score': 0.0012374446960166097}, {'label': 'love', 'score': 0.001029872102662921}, {'label': 'desire', 'score': 0.0008743368089199066}, {'label': 'gratitude', 'score': 0.0008474631467834115}, {'label': 'caring', 'score': 0.0008214605622924864}, {'label': 'embarrassment', 'score': 0.0006169736152514815}, {'label': 'grief', 'score': 0.00035146705340594053}, {'label': 'nervousness', 'score': 0.00028914486756548285}, {'label': 'relief', 'score': 0.00025087970425374806}, {'label': 'pride', 'score': 0.00024965728516690433}, {'label': 'remorse', 'score': 0.00021354704222176224}]"
doubt,"[{'label': 'neutral', 'score': 0.9646962881088257}, {'label': 'approval', 'score': 0.01468615885823965}, {'label': 'annoyance', 'score': 0.009247745387256145}, {'label': 'disapproval', 'score': 0.007852950133383274}, {'label': 'realization', 'score': 0.005859574303030968}, {'label': 'disappointment', 'score': 0.0048720273189246655}, {'label': 'admiration', 'score': 0.0032426314428448677}, {'label': 'confusion', 'score': 0.002866049064323306}, {'label': 'disgust', 'score': 0.0026467267889529467}, {'label': 'anger', 'score': 0.0025953897275030613}, {'label': 'sadness', 'score': 0.0021273232996463776}, {'label': 'optimism', 'score': 0.001967465505003929}, {'label': 'fear', 'score': 0.0017169733764603734}, {'label': 'amusement', 'score': 0.0013414467684924603}, {'label': 'curiosity', 'score': 0.001319468836300075}, {'label': 'excitement', 'score': 0.0012742667458951473}, {'label': 'joy', 'score': 0.0010266496101394296}, {'label': 'caring', 'score': 0.000873249489814043}, {'label': 'love', 'score': 0.0008575872052460909}, {'label': 'desire', 'score': 0.0008483688579872251}, {'label': 'embarrassment', 'score': 0.0008206207421608269}, {'label': 'surprise', 'score': 0.0008026520954445004}, {'label': 'gratitude', 'score': 0.0007313517853617668}, {'label': 'grief', 'score': 0.00038465054240077734}, {'label': 'nervousness', 'score': 0.0003711532335728407}, {'label': 'relief', 'score': 0.0002986424369737506}, {'label': 'pride', 'score': 0.00029469458968378603}, {'label': 'remorse', 'score': 0.00028407396166585386}]"
upon,"[{'label': 'neutral', 'score': 0.966995120048523}, {'label': 'approval', 'score': 0.011244052089750767}, {'label': 'annoyance', 'score': 0.009017189964652061}, {'label': 'realization', 'score': 0.005388892721384764}, {'label': 'disapproval', 'score': 0.005346668418496847}, {'label': 'disappointment', 'score': 0.004127216525375843}, {'label': 'anger', 'score': 0.0038421896751970053}, {'label': 'admiration', 'score': 0.0030978114809840918}, {'label': 'sadness', 'score': 0.0028613379690796137}, {'label': 'disgust', 'score': 0.0025953478179872036}, {'label': 'excitement', 'score': 0.002181020099669695}, {'label': 'joy', 'score': 0.002158970572054386}, {'label': 'amusement', 'score': 0.002133769914507866}, {'label': 'confusion', 'score': 0.0021186117082834244}, {'label': 'fear', 'score': 0.001886654063127935}, {'label': 'optimism', 'score': 0.001652742619626224}, {'label': 'curiosity', 'score': 0.0012498927535489202}, {'label': 'gratitude', 'score': 0.0011545687448233366}, {'label': 'love', 'score': 0.0011000988306477666}, {'label': 'surprise', 'score': 0.0010784550104290247}, {'label': 'desire', 'score': 0.0010715057142078876}, {'label': 'caring', 'score': 0.001056973822414875}, {'label': 'embarrassment', 'score': 0.0009512306423857808}, {'label': 'grief', 'score': 0.0005371629376895726}, {'label': 'remorse', 'score': 0.0004384836065582931}, {'label': 'nervousness', 'score': 0.0004377139266580343}, {'label': 'pride', 'score': 0.0004198992101009935}, {'label': 'relief', 'score': 0.000399160198867321}]"
all,"[{'label': 'neutral', 'score': 0.9603791236877441}, {'label': 'approval', 'score': 0.02013358473777771}, {'label': 'realization', 'score': 0.005909029394388199}, {'label': 'annoyance', 'score': 0.005828134715557098}, {'label': 'disapproval', 'score': 0.0037094620056450367}, {'label': 'admiration', 'score': 0.003220293205231428}, {'label': 'disappointment', 'score': 0.002244657138362527}, {'label': 'optimism', 'score': 0.002130837645381689}, {'label': 'confusion', 'score': 0.002101191319525242}, {'label': 'excitement', 'score': 0.0017985762096941471}, {'label': 'anger', 'score': 0.001664210227318108}, {'label': 'curiosity', 'score': 0.0014261241303756833}, {'label': 'joy', 'score': 0.0014064621645957232}, {'label': 'amusement', 'score': 0.001328400569036603}, {'label': 'disgust', 'score': 0.0012964025372639298}, {'label': 'gratitude', 'score': 0.0012418535770848393}, {'label': 'sadness', 'score': 0.001233445480465889}, {'label': 'desire', 'score': 0.0010374749545007944}, {'label': 'love', 'score': 0.000925825908780098}, {'label': 'caring', 'score': 0.0008957321406342089}, {'label': 'fear', 'score': 0.0007424700306728482}, {'label': 'surprise', 'score': 0.0006821133429184556}, {'label': 'embarrassment', 'score': 0.00037595469621010125}, {'label': 'relief', 'score': 0.0002914125507231802}, {'label': 'pride', 'score': 0.00026542128762230277}, {'label': 'grief', 'score': 0.0002442984841763973}, {'label': 'nervousness', 'score': 0.0002250070683658123}, {'label': 'remorse', 'score': 0.00022204744163900614}]"
his,"[{'label': 'neutral', 'score': 0.9635736346244812}, {'label': 'approval', 'score': 0.012863880954682827}, {'label': 'annoyance', 'score': 0.0064498744904994965}, {'label': 'realization', 'score': 0.00487545458599925}, {'label': 'disapproval', 'score': 0.0035759860184043646}, {'label': 'admiration', 'score': 0.0030326363630592823}, {'label': 'anger', 'score': 0.0026439251378178596}, {'label': 'disappointment', 'score': 0.002614665077999234}, {'label': 'confusion', 'score': 0.0024658250622451305}, {'label': 'optimism', 'score': 0.0020092527847737074}, {'label': 'excitement', 'score': 0.001955043524503708}, {'label': 'disgust', 'score': 0.0018847478786483407}, {'label': 'sadness', 'score': 0.0018084610346704721}, {'label': 'amusement', 'score': 0.0015899870777502656}, {'label': 'joy', 'score': 0.0015735060442239046}, {'label': 'curiosity', 'score': 0.0015379830729216337}, {'label': 'gratitude', 'score': 0.001403471571393311}, {'label': 'fear', 'score': 0.0013129026629030704}, {'label': 'love', 'score': 0.0011144313029944897}, {'label': 'desire', 'score': 0.0010654609650373459}, {'label': 'caring', 'score': 0.0010150906164199114}, {'label': 'surprise', 'score': 0.0009651120053604245}, {'label': 'embarrassment', 'score': 0.0005785409593954682}, {'label': 'grief', 'score': 0.00038079736987128854}, {'label': 'remorse', 'score': 0.00035106323775835335}, {'label': 'pride', 'score': 0.0003134771541226655}, {'label': 'relief', 'score': 0.0003074166888836771}, {'label': 'nervousness', 'score': 0.00029568158788606524}]"
mental,"[{'label': 'neutral', 'score': 0.9683569669723511}, {'label': 'approval', 'score': 0.012753458693623543}, {'label': 'annoyance', 'score': 0.006744200363755226}, {'label': 'realization', 'score': 0.005737327970564365}, {'label': 'admiration', 'score': 0.0036518394481390715}, {'label': 'disappointment', 'score': 0.003402827540412545}, {'label': 'disapproval', 'score': 0.003303352976217866}, {'label': 'anger', 'score': 0.002683396451175213}, {'label': 'sadness', 'score': 0.002593347569927573}, {'label': 'confusion', 'score': 0.002507608151063323}, {'label': 'excitement', 'score': 0.00243395590223372}, {'label': 'disgust', 'score': 0.0024149431847035885}, {'label': 'fear', 'score': 0.002073027426376939}, {'label': 'amusement', 'score': 0.002051112474873662}, {'label': 'joy', 'score': 0.0020199508871883154}, {'label': 'optimism', 'score': 0.0017966895829886198}, {'label': 'curiosity', 'score': 0.0015936580020934343}, {'label': 'desire', 'score': 0.0012475139228627086}, {'label': 'caring', 'score': 0.0012457227567210793}, {'label': 'love', 'score': 0.0012365886941552162}, {'label': 'gratitude', 'score': 0.0011561530409380794}, {'label': 'surprise', 'score': 0.0010429418180137873}, {'label': 'embarrassment', 'score': 0.0007854301366023719}, {'label': 'grief', 'score': 0.0005223386106081307}, {'label': 'nervousness', 'score': 0.0004712004156317562}, {'label': 'pride', 'score': 0.0004049919662065804}, {'label': 'relief', 'score': 0.0004028005641885102}, {'label': 'remorse', 'score': 0.00039834159542806447}]"
results,"[{'label': 'neutral', 'score': 0.9435945153236389}, {'label': 'approval', 'score': 0.026258861646056175}, {'label': 'admiration', 'score': 0.009089747443795204}, {'label': 'realization', 'score': 0.0073485360480844975}, {'label': 'annoyance', 'score': 0.004954425152391195}, {'label': 'disappointment', 'score': 0.004201770760118961}, {'label': 'excitement', 'score': 0.004197730682790279}, {'label': 'joy', 'score': 0.0031482784543186426}, {'label': 'disapproval', 'score': 0.0026168993208557367}, {'label': 'optimism', 'score': 0.002201684983447194}, {'label': 'surprise', 'score': 0.0017801251960918307}, {'label': 'sadness', 'score': 0.0017446205019950867}, {'label': 'gratitude', 'score': 0.001726036542095244}, {'label': 'disgust', 'score': 0.0015273469034582376}, {'label': 'anger', 'score': 0.0014128232141956687}, {'label': 'confusion', 'score': 0.001309813349507749}, {'label': 'amusement', 'score': 0.0011909555178135633}, {'label': 'love', 'score': 0.0011078580282628536}, {'label': 'curiosity', 'score': 0.0010466963285580277}, {'label': 'fear', 'score': 0.0010019481414929032}, {'label': 'pride', 'score': 0.0007472207653336227}, {'label': 'relief', 'score': 0.0006967271328903735}, {'label': 'desire', 'score': 0.0006619118503294885}, {'label': 'embarrassment', 'score': 0.0006497077993117273}, {'label': 'caring', 'score': 0.0006334069767035544}, {'label': 'grief', 'score': 0.0003909521910827607}, {'label': 'nervousness', 'score': 0.00031347357435151935}, {'label': 'remorse', 'score': 0.0002791917650029063}]"
.,"[{'label': 'neutral', 'score': 0.9674344658851624}, {'label': 'approval', 'score': 0.011802221648395061}, {'label': 'annoyance', 'score': 0.007544702384620905}, {'label': 'realization', 'score': 0.005322545766830444}, {'label': 'disapproval', 'score': 0.004763767123222351}, {'label': 'disappointment', 'score': 0.0037169167771935463}, {'label': 'anger', 'score': 0.0034556870814412832}, {'label': 'admiration', 'score': 0.0033788273576647043}, {'label': 'confusion', 'score': 0.0026864097453653812}, {'label': 'sadness', 'score': 0.002586099086329341}, {'label': 'excitement', 'score': 0.002200174843892455}, {'label': 'joy', 'score': 0.0019626447465270758}, {'label': 'disgust', 'score': 0.0019308158662170172}, {'label': 'curiosity', 'score': 0.0018657570471987128}, {'label': 'amusement', 'score': 0.0018142495537176728}, {'label': 'fear', 'score': 0.0016712276265025139}, {'label': 'optimism', 'score': 0.0015581509796902537}, {'label': 'caring', 'score': 0.001072729704901576}, {'label': 'surprise', 'score': 0.0010352175449952483}, {'label': 'love', 'score': 0.0010337356943637133}, {'label': 'desire', 'score': 0.0009654826717451215}, {'label': 'gratitude', 'score': 0.0009350944892503321}, {'label': 'embarrassment', 'score': 0.0006835017120465636}, {'label': 'grief', 'score': 0.0004944714601151645}, {'label': 'nervousness', 'score': 0.00042324818787164986}, {'label': 'pride', 'score': 0.0003402753791306168}, {'label': 'remorse', 'score': 0.00033981617889367044}, {'label': 'relief', 'score': 0.000333260977640748}]"
Grit,"[{'label': 'neutral', 'score': 0.9690471291542053}, {'label': 'approval', 'score': 0.014325081370770931}, {'label': 'annoyance', 'score': 0.007001500576734543}, {'label': 'admiration', 'score': 0.005575442221015692}, {'label': 'realization', 'score': 0.005255881231278181}, {'label': 'disappointment', 'score': 0.003425157628953457}, {'label': 'anger', 'score': 0.003116289619356394}, {'label': 'disapproval', 'score': 0.0028945172671228647}, {'label': 'sadness', 'score': 0.0027707666158676147}, {'label': 'excitement', 'score': 0.0026507945731282234}, {'label': 'disgust', 'score': 0.0025347773917019367}, {'label': 'joy', 'score': 0.0020728972740471363}, {'label': 'optimism', 'score': 0.0019337161211296916}, {'label': 'confusion', 'score': 0.0018425399903208017}, {'label': 'fear', 'score': 0.0018230614950880408}, {'label': 'amusement', 'score': 0.0017235776176676154}, {'label': 'curiosity', 'score': 0.0013860823819413781}, {'label': 'caring', 'score': 0.0013011513510718942}, {'label': 'desire', 'score': 0.0012497843708842993}, {'label': 'love', 'score': 0.0012384292203933}, {'label': 'gratitude', 'score': 0.0011699821334332228}, {'label': 'surprise', 'score': 0.0010534313041716814}, {'label': 'embarrassment', 'score': 0.0007535984041169286}, {'label': 'grief', 'score': 0.0005434388294816017}, {'label': 'pride', 'score': 0.0005142235895618796}, {'label': 'nervousness', 'score': 0.0004381276376079768}, {'label': 'relief', 'score': 0.0004369454109109938}, {'label': 'remorse', 'score': 0.0003873880486935377}]"
in,"[{'label': 'neutral', 'score': 0.9654467105865479}, {'label': 'approval', 'score': 0.016485754400491714}, {'label': 'realization', 'score': 0.007249025162309408}, {'label': 'annoyance', 'score': 0.007038545794785023}, {'label': 'disapproval', 'score': 0.003781188977882266}, {'label': 'disappointment', 'score': 0.003010472282767296}, {'label': 'confusion', 'score': 0.002577449893578887}, {'label': 'admiration', 'score': 0.0025183656252920628}, {'label': 'anger', 'score': 0.002446213737130165}, {'label': 'optimism', 'score': 0.002042971784248948}, {'label': 'excitement', 'score': 0.002027297392487526}, {'label': 'disgust', 'score': 0.0019298060797154903}, {'label': 'sadness', 'score': 0.0019199582748115063}, {'label': 'curiosity', 'score': 0.0017592794029042125}, {'label': 'amusement', 'score': 0.0016753928503021598}, {'label': 'fear', 'score': 0.0013997922651469707}, {'label': 'joy', 'score': 0.0013689252082258463}, {'label': 'surprise', 'score': 0.0010996379423886538}, {'label': 'desire', 'score': 0.0010485376697033644}, {'label': 'love', 'score': 0.0009998659370467067}, {'label': 'caring', 'score': 0.0008461056277155876}, {'label': 'gratitude', 'score': 0.0007391033577732742}, {'label': 'embarrassment', 'score': 0.0006268310244195163}, {'label': 'grief', 'score': 0.0003789755573961884}, {'label': 'nervousness', 'score': 0.00033159650047309697}, {'label': 'pride', 'score': 0.0002956869429908693}, {'label': 'remorse', 'score': 0.00029192728106863797}, {'label': 'relief', 'score': 0.0002904487191699445}]"
a,"[{'label': 'neutral', 'score': 0.9631901383399963}, {'label': 'approval', 'score': 0.010411566123366356}, {'label': 'annoyance', 'score': 0.009450456127524376}, {'label': 'realization', 'score': 0.004488940816372633}, {'label': 'anger', 'score': 0.004405894782394171}, {'label': 'confusion', 'score': 0.0033692356664687395}, {'label': 'disapproval', 'score': 0.0030685821548104286}, {'label': 'curiosity', 'score': 0.002842816524207592}, {'label': 'admiration', 'score': 0.002566952258348465}, {'label': 'disappointment', 'score': 0.0025179896038025618}, {'label': 'disgust', 'score': 0.0020909449085593224}, {'label': 'excitement', 'score': 0.0020485040731728077}, {'label': 'amusement', 'score': 0.0016849000239744782}, {'label': 'sadness', 'score': 0.0016452968120574951}, {'label': 'optimism', 'score': 0.0016040976624935865}, {'label': 'joy', 'score': 0.001430999836884439}, {'label': 'fear', 'score': 0.0013223724672570825}, {'label': 'surprise', 'score': 0.0012374446960166097}, {'label': 'love', 'score': 0.001029872102662921}, {'label': 'desire', 'score': 0.0008743368089199066}, {'label': 'gratitude', 'score': 0.0008474631467834115}, {'label': 'caring', 'score': 0.0008214605622924864}, {'label': 'embarrassment', 'score': 0.0006169736152514815}, {'label': 'grief', 'score': 0.00035146705340594053}, {'label': 'nervousness', 'score': 0.00028914486756548285}, {'label': 'relief', 'score': 0.00025087970425374806}, {'label': 'pride', 'score': 0.00024965728516690433}, {'label': 'remorse', 'score': 0.00021354704222176224}]"
